rank,label,candidate_hidden,candidate_learning_rate,candidate_batch_size,candidate_seed,gpu_score,gpu_acc_mean,gpu_f1_mean,gpu_best_seed_acc,gpu_best_seed_f1,run_id,run_name,hidden,output_head,best_epoch,mode,threshold,split,samples,repeats,total_forwards,total_ms,ns_per_forward,forwards_per_second,checksum,dense_ops_per_pass,sparse_ops_per_pass,estimated_speedup,ops_saved_ratio,active_total_per_pass,activation_slots_per_pass,avg_active_ratio,avg_sparsity,avg_active_by_layer
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,dense,0.00000000,test,100,300,30000,4441,148063.02036667,6753.88086454,12866.46061893,16640000,16640000,1.00000000,0.00000000,60800,60800,1.00000000,0.00000000,L0=32.00/32;L1=64.00/64;L2=512.00/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,sparse_exact,0.00000000,test,100,300,30000,3294,109821.89140000,9105.65268228,12866.46061893,16640000,14996835,1.10956745,0.09874790,29385,60800,0.48330592,0.51669408,L0=7.09/32;L1=35.53/64;L2=251.23/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,sparse_threshold,0.02500000,test,100,300,30000,3328,110958.16870000,9012.40541112,12877.80791640,16640000,14936878,1.11402128,0.10235108,28431,60800,0.46761513,0.53238487,L0=6.89/32;L1=34.40/64;L2=243.02/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,sparse_threshold,0.05000000,test,100,300,30000,3351,111724.10110000,8950.62023462,12866.38074747,16640000,14888759,1.11762169,0.10524285,27569,60800,0.45343750,0.54656250,L0=6.77/32;L1=33.49/64;L2=235.43/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,sparse_threshold,0.07500000,test,100,300,30000,3287,109576.59156667,9126.03673561,12902.93481581,16640000,14837049,1.12151682,0.10835042,26686,60800,0.43891447,0.56108553,L0=6.57/32;L1=32.52/64;L2=227.77/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,sparse_threshold,0.10000000,test,100,300,30000,3238,107933.43506667,9264.96964895,12931.92013010,16640000,14792312,1.12490867,0.11103894,25818,60800,0.42463816,0.57536184,L0=6.42/32;L1=31.68/64;L2=220.08/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,dense,0.00000000,test,100,300,30000,8011,267045.63466667,3744.67832529,11746.01069506,28108800,28108800,1.00000000,0.00000000,60800,60800,1.00000000,0.00000000,L0=64.00/64;L1=32.00/32;L2=512.00/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,sparse_exact,0.00000000,test,100,300,30000,6259,208653.22130000,4792.64108059,11746.01069506,28108800,27031223,1.03986416,0.03833593,29307,60800,0.48202303,0.51797697,L0=31.67/64;L1=13.49/32;L2=247.91/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,sparse_threshold,0.02500000,test,100,300,30000,6212,207072.89946667,4829.21716253,11745.38096623,28108800,27011851,1.04060992,0.03902511,28519,60800,0.46906250,0.53093750,L0=30.95/64;L1=13.17/32;L2=241.07/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,sparse_threshold,0.05000000,test,100,300,30000,6186,206213.32476667,4849.34715607,11733.26199760,28108800,26994911,1.04126293,0.03962777,27732,60800,0.45611842,0.54388158,L0=30.19/64;L1=12.90/32;L2=234.23/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,sparse_threshold,0.07500000,test,100,300,30000,6279,209300.57036667,4777.81784468,11714.10779979,28108800,26975139,1.04202614,0.04033118,26962,60800,0.44345395,0.55654605,L0=29.50/64;L1=12.57/32;L2=227.55/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,sparse_threshold,0.10000000,test,100,300,30000,6199,206649.84593333,4839.10353518,11699.50084788,28108800,26950629,1.04297380,0.04120315,26208,60800,0.43105263,0.56894737,L0=28.76/64;L1=12.15/32;L2=221.17/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,0.871975,0.576667,0.570688,0.63,0.704000,f9521d9d19c4,top3_128x32x512_lr0p003_b32_s9,128x32x512,sigmoid1,31,dense,0.00000000,test,100,300,30000,14567,485599.78420000,2059.30898764,14220.65108588,54528000,54528000,1.00000000,0.00000000,67200,67200,1.00000000,0.00000000,L0=128.00/128;L1=32.00/32;L2=512.00/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,0.871975,0.576667,0.570688,0.63,0.704000,f9521d9d19c4,top3_128x32x512_lr0p003_b32_s9,128x32x512,sigmoid1,31,sparse_exact,0.00000000,test,100,300,30000,11484,382816.75886667,2612.21583653,14220.65108588,54528000,53483988,1.01952009,0.01914635,33285,67200,0.49531250,0.50468750,L0=70.19/128;L1=15.74/32;L2=246.92/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,0.871975,0.576667,0.570688,0.63,0.704000,f9521d9d19c4,top3_128x32x512_lr0p003_b32_s9,128x32x512,sigmoid1,31,sparse_threshold,0.02500000,test,100,300,30000,11479,382653.66956667,2613.32917866,14229.15865905,54528000,53455175,1.02006962,0.01967475,32335,67200,0.48117560,0.51882440,L0=68.29/128;L1=15.31/32;L2=239.75/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,0.871975,0.576667,0.570688,0.63,0.704000,f9521d9d19c4,top3_128x32x512_lr0p003_b32_s9,128x32x512,sigmoid1,31,sparse_threshold,0.05000000,test,100,300,30000,11424,380806.70313333,2626.00419523,14251.02868295,54528000,53424853,1.02064857,0.02023084,31347,67200,0.46647321,0.53352679,L0=66.41/128;L1=14.85/32;L2=232.21/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,0.871975,0.576667,0.570688,0.63,0.704000,f9521d9d19c4,top3_128x32x512_lr0p003_b32_s9,128x32x512,sigmoid1,31,sparse_threshold,0.07500000,test,100,300,30000,11467,382256.37296667,2616.04533167,14258.93898970,54528000,53401949,1.02108633,0.02065088,30406,67200,0.45247024,0.54752976,L0=64.60/128;L1=14.53/32;L2=224.93/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,0.871975,0.576667,0.570688,0.63,0.704000,f9521d9d19c4,top3_128x32x512_lr0p003_b32_s9,128x32x512,sigmoid1,31,sparse_threshold,0.10000000,test,100,300,30000,11425,380864.72200000,2625.60416399,14328.54942341,54528000,53372695,1.02164599,0.02118737,29418,67200,0.43776786,0.56223214,L0=62.57/128;L1=14.10/32;L2=217.51/512
