epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68995887,0.53000000,0.51724138,0.90000000,0.65693431,0.69933397,0.55000000,0.52873563,0.92000000,0.67153285
2,0.67875010,0.58333333,0.55605381,0.82666667,0.66487936,0.69656754,0.54000000,0.52500000,0.84000000,0.64615385
3,0.67856908,0.56333333,0.64179104,0.28666667,0.39631336,0.70233124,0.48000000,0.46153846,0.24000000,0.31578947
4,0.66898781,0.63333333,0.66949153,0.52666667,0.58955224,0.70305914,0.48000000,0.47619048,0.40000000,0.43478261
5,0.68313134,0.54333333,0.72413793,0.14000000,0.23463687,0.71832454,0.49000000,0.45454545,0.10000000,0.16393443
6,0.66231835,0.59000000,0.56000000,0.84000000,0.67200000,0.70518047,0.52000000,0.51250000,0.82000000,0.63076923
7,0.65761477,0.64000000,0.67796610,0.53333333,0.59701493,0.70883322,0.48000000,0.47619048,0.40000000,0.43478261
8,0.65797210,0.61666667,0.57575758,0.88666667,0.69816273,0.71256649,0.54000000,0.52380952,0.88000000,0.65671642
9,0.66957116,0.58333333,0.82051282,0.21333333,0.33862434,0.72145414,0.46000000,0.33333333,0.08000000,0.12903226
10,0.64568186,0.68666667,0.69718310,0.66000000,0.67808219,0.70573920,0.49000000,0.48979592,0.48000000,0.48484848
11,0.64209384,0.67666667,0.69924812,0.62000000,0.65724382,0.70842892,0.48000000,0.47916667,0.46000000,0.46938776
12,0.66236973,0.58000000,0.83333333,0.20000000,0.32258065,0.72819716,0.47000000,0.36363636,0.08000000,0.13114754
13,0.63621932,0.68333333,0.63819095,0.84666667,0.72779370,0.70818883,0.52000000,0.51388889,0.74000000,0.60655738
14,0.63204551,0.70000000,0.73076923,0.63333333,0.67857143,0.70900834,0.48000000,0.47727273,0.42000000,0.44680851
15,0.63037378,0.70333333,0.76068376,0.59333333,0.66666667,0.71325326,0.48000000,0.47368421,0.36000000,0.40909091
16,0.62595218,0.70666667,0.75833333,0.60666667,0.67407407,0.71342045,0.48000000,0.47368421,0.36000000,0.40909091
17,0.62058181,0.71000000,0.69325153,0.75333333,0.72204473,0.71284974,0.47000000,0.47457627,0.56000000,0.51376147
18,0.63297719,0.62000000,0.57377049,0.93333333,0.71065990,0.72268134,0.53000000,0.51724138,0.90000000,0.65693431
19,0.66090792,0.55666667,0.86956522,0.13333333,0.23121387,0.75047857,0.50000000,0.50000000,0.08000000,0.13793103
20,0.60970551,0.73000000,0.71165644,0.77333333,0.74121406,0.71214646,0.45000000,0.45283019,0.48000000,0.46601942
21,0.61317605,0.70666667,0.81632653,0.53333333,0.64516129,0.71712416,0.50000000,0.50000000,0.34000000,0.40476190
22,0.62083018,0.65666667,0.84057971,0.38666667,0.52968037,0.72744125,0.54000000,0.59090909,0.26000000,0.36111111
23,0.61059350,0.69000000,0.86075949,0.45333333,0.59388646,0.72714901,0.51000000,0.51851852,0.28000000,0.36363636
24,0.59669077,0.75000000,0.73291925,0.78666667,0.75884244,0.72020048,0.44000000,0.44230769,0.46000000,0.45098039
25,0.61733961,0.65000000,0.88135593,0.34666667,0.49760766,0.73910445,0.52000000,0.55000000,0.22000000,0.31428571
26,0.58993894,0.74666667,0.68500000,0.91333333,0.78285714,0.71611673,0.55000000,0.53424658,0.78000000,0.63414634
27,0.58494490,0.73000000,0.67164179,0.90000000,0.76923077,0.71860790,0.53000000,0.52112676,0.74000000,0.61157025
28,0.57840985,0.75666667,0.71751412,0.84666667,0.77675841,0.72029275,0.48000000,0.48333333,0.58000000,0.52727273
29,0.57782555,0.76000000,0.82500000,0.66000000,0.73333333,0.72734892,0.53000000,0.53846154,0.42000000,0.47191011
30,0.58357853,0.69000000,0.62895928,0.92666667,0.74932615,0.72660381,0.58000000,0.55000000,0.88000000,0.67692308
31,0.56475466,0.80000000,0.81250000,0.78000000,0.79591837,0.72836912,0.46000000,0.46000000,0.46000000,0.46000000
32,0.59366882,0.66333333,0.87692308,0.38000000,0.53023256,0.75446576,0.52000000,0.54545455,0.24000000,0.33333333
33,0.55908775,0.79000000,0.78807947,0.79333333,0.79069767,0.72942871,0.46000000,0.46000000,0.46000000,0.46000000
34,0.55397230,0.79666667,0.82962963,0.74666667,0.78596491,0.72754246,0.49000000,0.48888889,0.44000000,0.46315789
35,0.64497823,0.56000000,0.53191489,1.00000000,0.69444444,0.77636456,0.49000000,0.49484536,0.96000000,0.65306122
36,0.57069468,0.71000000,0.63876652,0.96666667,0.76923077,0.74266130,0.57000000,0.54320988,0.88000000,0.67175573
37,0.54427648,0.83333333,0.81645570,0.86000000,0.83766234,0.72943884,0.46000000,0.46296296,0.50000000,0.48076923
38,0.61900681,0.59666667,0.55350554,1.00000000,0.71258907,0.78378612,0.48000000,0.48913043,0.90000000,0.63380282
39,0.55618054,0.72666667,0.65596330,0.95333333,0.77717391,0.74877059,0.57000000,0.54320988,0.88000000,0.67175573
40,0.53367603,0.82333333,0.92173913,0.70666667,0.80000000,0.73817933,0.54000000,0.55882353,0.38000000,0.45238095
41,0.60229176,0.61333333,0.97222222,0.23333333,0.37634409,0.79432267,0.48000000,0.40000000,0.08000000,0.13333333
42,0.53263062,0.75666667,0.69154229,0.92666667,0.79202279,0.74396431,0.56000000,0.54054054,0.80000000,0.64516129
43,0.56138879,0.66000000,0.94444444,0.34000000,0.50000000,0.77200973,0.50000000,0.50000000,0.20000000,0.28571429
44,0.51788199,0.80666667,0.74468085,0.93333333,0.82840237,0.72952759,0.52000000,0.51562500,0.66000000,0.57894737
45,0.51138324,0.79666667,0.73056995,0.94000000,0.82215743,0.74383336,0.55000000,0.53521127,0.76000000,0.62809917
46,0.55111980,0.67000000,0.93220339,0.36666667,0.52631579,0.78451473,0.49000000,0.47058824,0.16000000,0.23880597
47,0.49259788,0.85333333,0.85333333,0.85333333,0.85333333,0.73915112,0.46000000,0.45833333,0.44000000,0.44897959
48,0.49681357,0.82666667,0.80625000,0.86000000,0.83225806,0.75396806,0.48000000,0.48148148,0.52000000,0.50000000
49,0.51814568,0.74666667,0.67289720,0.96000000,0.79120879,0.75808173,0.53000000,0.52000000,0.78000000,0.62400000
50,0.49202171,0.77666667,0.70854271,0.94000000,0.80802292,0.75951260,0.55000000,0.53521127,0.76000000,0.62809917
51,0.47315177,0.87333333,0.89436620,0.84666667,0.86986301,0.74643749,0.46000000,0.45238095,0.38000000,0.41304348
52,0.68897623,0.55000000,1.00000000,0.10000000,0.18181818,0.93195075,0.51000000,1.00000000,0.02000000,0.03921569
